Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,,,,,
Ca Marí temporary pond,ES531FOR006 ,0.058,Inland,3,51.72413793,38.69761,1.444726,,,,,
S'Estany Pudent coastal lagoon and Ferrer salt pans,ES531FOR009,0.058,Inland,23,396.5517241,38.72622,1.436089,,,,,
sa Rota irrigation pond,ES531IBI007 ,0.033,Inland,1,30.3030303,39.0056,1.522379,,,,,
Sa Pedrera gravel pit,ES531IBI043 ,0.002,Inland,4,2000,39.01058,1.39738,,,,,
Airport highway dreinage pond,ES531IBI072 ,0.005,Inland,3,600,38.88672,1.398366,,,,,
Ses Gambes lagoon,ES532MAL001 ,0.551,Inland,9,16.33393829,39.29532,3.043814,,,,,
Son Nuviet 7,ES532MAL049 ,0.01,Inland,3,300,39.57692,3.14715,,,,,
Son Nuviet 6,ES532MAL050 ,0.013,Inland,2,153.8461538,39.5802,3.145564,,,,,
Son Nuviet 5,ES532MAL051 ,0.013,Inland,3,230.7692308,39.58143,3.144827,,,,,
Son Nuviet 3,ES532MAL052 ,0.012,Inland,2,166.6666667,39.58702,3.142537,,,,,
Son Nuviet 2,ES532MAL053 ,0.015,Inland,1,66.66666667,39.58078,3.128375,,,,,
Son Navata 1,ES532MAL058 ,0.056,Inland,33,589.2857143,39.49202,3.129477,,,,,
Torrent de Pareis estuary,ES532MAL060,0.018,Inland,2,111.1111111,39.85115,2.808393,,,,,
Sa Vinyola 1,ES532MAL062 ,0.014,Inland,2,142.8571429,39.38822,2.951545,,,,,
Artà irrigation pond,ES532MAL070,0.052,Inland,7,134.6153846,39.71173,3.37235,,,,,
Golf Son Muntaner 1,ES532MAL084 ,0.01,Inland,1,100,39.58778,2.606137,,,,,
Teulera de Selva clay pit,ES532MAL102,0.006,Inland,6,1000,39.74527,2.903193,,,,,
Sineu mines,ES532MAL103 ,0.02,Inland,4,200,39.65406,3.038241,,,,,
Ariany irrigation pond,ES532MAL120 ,0.017,Inland,1,58.82352941,39.65374,3.088113,,,,,
Prat de Son Amer meadow,ES532MAL124 ,0.018,Inland,11,611.1111111,39.81878,2.893496,,,,,
Son Torrella reservoir,ES532MAL126 ,0.013,Inland,1,76.92307692,39.78783,2.779249,,,,,
Binissalem Water treatment plant,ES532MAL131 ,0.064,Inland,8,125,39.68461,2.866509,,,,,
Golf de Son Quint 2,ES532MAL133 ,0.006,Inland,2,333.3333333,39.59371,2.604719,,,,,
Prat de sa Font de la Vila meadow,ES532MAL134 ,0.029,Inland,3,103.4482759,39.64232,2.644596,,,,,
Son Nuviet 1,ES532MAL144 ,0.007,Inland,1,142.8571429,39.57982,3.12515,,,,,
Son Nuviet 4,ES532MAL145 ,0.003,Inland,2,666.6666667,39.58545,3.139952,,,,,
Mortitx reservoirs,ES532MAL148 ,0.01,Inland,2,200,39.87522,2.909654,,,,,
Golf de Canyamel 2,ES532MAL157,0.002,Inland,1,500,39.66824,3.433679,,,,,
Ariany Water treatment plant,ES532MAL169 ,0.007,Inland,2,285.7142857,39.64894,3.085223,,,,,
Es Fogueró pond,ES532MAL181 ,0.004,Inland,3,750,39.53674,2.740772,,,,,
Son Trobat pond,ES532MAL183 ,0.008,Inland,5,625,39.54893,2.954175,,,,,
Montuiri pond,ES532MAL184 ,0.001,Inland,2,2000,39.56342,2.95778,,,,,
Botanicactus,ES532MAL221 ,0.013,Inland,2,153.8461538,39.34234,3.063074,,,,,
Son Fe quarry,ES532MAL281 ,0.005,Inland,6,1200,39.82708,3.065494,,,,,
Santa Eugènia Water treatment plant,ES532MAL288 ,0.002,Inland,2,1000,39.62964,2.850496,,,,,
Pujol pond,ES532MAL292 ,0.006,Inland,11,1833.333333,39.63604,3.099956,,,,,
Son Nuviet 8,ES532MAL302 ,0.006,Inland,2,333.3333333,39.57839,3.145376,,,,,
Santa Maria Water treatment plant,ES532MAL370 ,0.002,Inland,2,1000,39.6411,2.785701,,,,,
Prat de Son Mascaró meadow,ES532MAL399 ,0.003,Inland,2,666.6666667,39.62771,2.840947,,,,,
Quarry Vilafranca 3,ES532MAL56,0.012,Inland,3,250,39.56613,3.10862,,,,,
Ferreries water treatment plant,ES533MEN005 ,0.031,Inland,4,129.0322581,39.97929,4.021927,,,,,
Es Mercadal water treatment plant,ES533MEN032 ,0.018,Inland,3,166.6666667,40.00272,4.094495,,,,,
Plana de Benissermenya temporary pond,ES533MEN038,0.005,Inland,1,200,39.91769,4.27918,,,,,
Ses Pallisses temporary pond,ES533MEN046,0.025,Inland,3,120,39.99756,3.996366,,,,,
Torre Llafuda temporary pond,ES533MEN047,0.973,Inland,1,1.027749229,39.9962,3.923809,,,,,
Es Clots des Guix temporary pond,ES533MEN048,0.894,Inland,8,8.948545861,39.96301,4.184636,,,,,
Mal Lloc temporary pond,ES533MEN049,0.159,Inland,1,6.289308176,39.99859,3.946192,,,,,
Verda de s'Albufera temporary pond,ES533MEN050,0.002,Inland,9,4500,40.0319,4.153831,,,,,
Son Catlar temporary pond,ES533MEN053,0.047,Inland,7,148.9361702,39.96593,3.873837,,,,,
Santa Eularieta temporary pond,ES533MEN056,0.036,Inland,7,194.4444444,39.9597,4.115374,,,,,
Llimpa-Santa Madrona ponds,ES533MEN066 ,0.002,Inland,9,4500,39.93642,4.253326,,,,,
Curniola temporary ponds,ES533MEN123,0.329,Inland,2,6.079027356,40.04681,3.901081,,,,,
Torrent de Sant Jordi pond,ES533MEN142 ,0.072,Inland,3,41.66666667,40.05236,4.019036,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
