Name Wetland,State,ID,Area (km2),Species richness,Species normalized,lat,lon,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,bod,TP,ec,NOXN,SatAreaFrac,SatAreaFrac_20,SatAreaFrac_40,SatAreaFrac_60
Coongie Lakes,SA,1,19800.0,751,0.037929,-27.3333,140.0,8.37e-26,9.2231,0.18758,0.025572,1e+31,1e+31,1.364229,0.20304,419.9492,0.356448,0.00997123308479786,0.0008928372408263,0.0017856744816526,0.0026785116642713
Big Swamp,SA,3,2.0,18,9.0,-34.65,135.7,0.000378,93.6216,0.370491,0.38024,1e+31,1e+31,1.466168,0.115128,304.6796,0.578866,0.5693561434745789,0.4976594746112823,0.5302751064300537,0.586291491985321
Lake Hamilton,SA,4,20.0,22,1.1,-34.0333,135.3,6.53e-05,13.0528,0.375424,1.55163,1e+31,1e+31,1.585181,0.146043,403.1053,0.534512,0.5510625839233398,0.4601874053478241,0.5039076209068298,0.5698367953300476
Lake Newland,SA,5,84.48,35,0.414299,-33.4,134.8667,1.99e-05,24.2459,0.310847,0.13806,1e+31,1e+31,1.329412,0.180435,593.8183,0.384516,0.43340402841567993,0.3719701468944549,0.4021834433078766,0.4501512050628662
Tod River WetlandÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ ,SA,6,212.4,639,3.008475,-34.45,135.8667,0.000133,143.605,0.386939,0.665083,1e+31,1e+31,1.451134,0.157865,497.1394,0.514844,0.5579168200492859,0.4896059036254883,0.5176500082015991,0.5660898089408875
Birchmore Lagoon,SA,7,1.5,23,15.33333,-35.8,137.4833,8.3e-11,57.7447,0.599189,0.0,1e+31,1e+31,1.528855,0.119897,352.9036,0.542266,0.08150474727153778,0.0025968754198402,0.0100751873105764,0.076782152056694
Flinders Chase River Systems,SA,9,404.5,831,2.054388,-35.9497,136.7372,0.000103,96.1306,0.642351,2.8261,1e+31,1e+31,0.849321,0.090515,89.38818,0.341387,0.2820141613483429,0.1394423395395279,0.2166209071874618,0.3219408094882965
Lake Ada,SA,10,9.94,170,17.10262,-35.9333,137.3333,0.000748,18.878,0.31336,0.623026,1e+31,1e+31,1.062788,0.075375,196.9643,0.379827,0.432844877243042,0.344163179397583,0.3999365568161011,0.4648394882678985
Murray Lagoon,SA,11,22.0,417,18.95455,-35.9167,137.4,0.000748,19.3309,0.31336,0.623026,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.5644528865814209,0.5155970454216003,0.552298903465271,0.5856698155403137
Tookayerta & Finniss Catchments,SA,12,3.0,199,66.33333,-35.3833,138.7333,4.75e-06,79.999,0.649981,0.163392,1e+31,1e+31,1.843043,0.200877,491.333,0.768451,0.15850596129894257,0.0253850854933261,0.0825132429599762,0.1682230532169342
Waidrowski Lagoon,SA,13,5.3,83,15.66038,-35.8333,137.6167,0.00051,34.2355,0.341763,1.78878,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.530545175075531,0.4845900237560272,0.5075169801712036,0.544593095779419
White Lagoon Wetland,SA,14,7.5,13,1.733333,-35.8333,137.5167,0.000686,34.0167,0.288712,3.65522,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.06115158274769783,0.0021099720615893,0.0061286021955311,0.0521925017237663
Banrock Swamp Wetland,SA,15,12.2,104,8.52459,-34.1833,140.3333,-5.64e-06,31.3966,0.445477,725.122,749.59,0.05964,1.552347,0.211727,669.4194,0.525844,0.28136584162712097,0.2318811118602752,0.2523961663246155,0.2873039245605469
Gurra Lakes,SA,16,6.6,59,8.939394,-34.2833,140.6333,-9.03e-06,12.6003,0.557348,726.611,312.604,0.071254,1e+31,1e+31,1e+31,1e+31,0.32461851835250854,0.2912257313728332,0.309993714094162,0.3284013867378235
Irwin flat,SA,17,0.5,11,22.0,-34.2333,139.65,6.44e-07,24.53,0.565892,724.07,108.048,0.019064,1.66408,0.200367,679.4663,0.53986,0.034995563328266144,0.0213692132383584,0.0234436672180891,0.0274429079145193
Loch Luna Wetland,SA,18,19.5,21,1.076923,-34.2,140.3667,-5.64e-06,10.9343,0.445477,725.122,749.59,0.05964,1e+31,1e+31,1e+31,1e+31,0.3292372524738312,0.2913476824760437,0.3074746131896972,0.3281342387199402
Loveday Swamps,SA,19,4.79,62,12.94363,-34.2833,140.4,-1.3e-05,16.2594,0.569247,725.508,1108.68,0.052832,1e+31,1e+31,1e+31,1e+31,0.1838890165090561,0.159598171710968,0.1686321943998336,0.1798340678215026
Lower Murray Swamps,SA,20,1.55,153,98.70968,-35.1,139.3,2.07e-05,22.0993,0.605062,718.106,213.0,0.555782,2.187586,0.179,448.9053,0.7004,0.2514972388744354,0.1619981974363327,0.214208111166954,0.2631560266017914
Marne River Mouth,SA,21,0.4,13,32.5,-34.7,139.5667,7.72e-06,42.1486,0.553614,721.041,1435.01,0.075775,1.910164,0.158944,481.19,0.618648,0.49233001470565796,0.4470761716365814,0.4706411063671112,0.501096248626709
Noora Evaporation Lakes,SA,22,5.0,18,3.6,-34.3833,140.8667,9.83e-08,8.16656,0.230797,0.165725,1e+31,1e+31,1.557336,0.205106,633.9156,0.507541,0.45081087946891785,0.418002724647522,0.4499579668045044,0.4736279249191284
Pike-Mundic Wetland,SA,23,67.0,67,1.0,-34.2333,140.7833,3.44e-06,13.2042,0.262272,0.205199,1e+31,1e+31,2.121436,0.316754,510.348,0.881274,0.3219885528087616,0.2629540264606476,0.3038988411426544,0.3370842933654785
