Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,SatAreaFrac,SatAreaFrac_20,SatAreaFrac_40,SatAreaFrac_60
KAZAFANI RIVER RECHARGE WIER No.1,CY000KYR018,0.0013107,Inland,7,5340.657664,35.31419,33.35482,0.10831744223833084,0.0036887088790535,0.0169721245765686,0.0874224305152893
KAZAFANI RIVER RECHARGE WIER No.2,CY000KYR019,0.001539,Inland,7,4548.408057,35.32974,33.3432,0.10831744223833084,0.0036887088790535,0.0169721245765686,0.0874224305152893
VASILEIA RESERVOIR,CY000KYR022,0.0044556,Inland,12,2693.239968,35.34816,33.11213,,,,
LEFKARA RESERVOIR,CY000LAR001,0.3612151,Inland,11,30.452769,34.89644,33.28936,0.11110296845436096,0.0032957734074443,0.0065915468148887,0.0742566213011741
DIPOTAMOS RESERVOIR,CY000LAR002,0.8441512,Inland,20,23.69243804,34.85821,33.35585,0.5989215970039368,0.5301573276519775,0.5593464374542236,0.6080896258354187
CHOIROKOITIA IRRIGATION TANK No2,CY000LAR004,0.0295385,Inland,2,67.70824517,34.80599,33.32753,0.08184609562158585,0.0032745292410254,0.0078601399436593,0.0380923487246036
CLAY QUARRY POND- VASILIKO CEMENT WORKS No.1,CY000LAR005,0.0019924,Inland,2,1003.814495,34.73127,33.30976,,,,
CLAY QUARRY POND- VASILIKO CEMENT WORKS No.2,CY000LAR006,0.004382,Inland,4,912.825194,34.72546,33.30308,,,,
LIMESTONE QUARRY POND- VASILIKO CEMENT WORKS ,CY000LAR007,0.0223845,Inland,3,134.0213094,34.75359,33.27833,0.08184609562158585,0.0032745292410254,0.0078601399436593,0.0380923487246036
KALAVASOS RESERVOIR,CY000LAR008,0.6098833,Inland,6,9.837947686,34.80592,33.25694,0.08184609562158585,0.0032745292410254,0.0078601399436593,0.0380923487246036
ORA IRRIGATION TANK No.3,CY000LAR009,0.0116715,Inland,6,514.0727413,34.86999,33.19272,0.11036113649606705,0.003121274523437,0.0062256315723061,0.0697109624743461
AGIOI VAVATSINIAS IRRIGATION TANK,CY000LAR010,0.0078977,Inland,1,126.6191423,34.87466,33.1887,0.11036113649606705,0.003121274523437,0.0062256315723061,0.0697109624743461
ORA IRRIGATION TANK No.1,CY000LAR011,0.0092455,Inland,9,973.4465416,34.86833,33.18174,0.11036113649606705,0.003121274523437,0.0062256315723061,0.0697109624743461
ORA IRRIGATION TANK No.2,CY000LAR012,0.0034007,Inland,4,1176.228424,34.86315,33.18296,0.11036113649606705,0.003121274523437,0.0062256315723061,0.0697109624743461
AGIOI VAVATSINIAS RESERVOIR,CY000LAR013,0.0110393,Inland,7,634.0981765,34.87335,33.18254,0.11036113649606705,0.003121274523437,0.0062256315723061,0.0697109624743461
ODOU IRRIGATION TANK No.2,CY000LAR014,0.0073516,Inland,6,816.1488656,34.88039,33.16938,0.11036113649606705,0.003121274523437,0.0062256315723061,0.0697109624743461
ODOU IRRIGATION TANK No.1,CY000LAR015,0.0112798,Inland,8,709.2324332,34.87956,33.16713,0.11036113649606705,0.003121274523437,0.0062256315723061,0.0697109624743461
MELINI IRRIGATION TANK No.2,CY000LAR016,0.0123482,Inland,10,809.8346318,34.86841,33.1678,0.11036113649606705,0.003121274523437,0.0062256315723061,0.0697109624743461
MELINI IRRIGATION TANK No.1,CY000LAR017,0.0110761,Inland,9,812.5603778,34.86556,33.16851,0.11036113649606705,0.003121274523437,0.0062256315723061,0.0697109624743461
LYMPIA RESERVOIR,CY000LAR029,0.073458,Inland,10,136.1322116,34.97503,33.4186,0.12068631500005722,0.004200795199722,0.0257419236004352,0.1129951402544975
KITI RESERVOIR,CY000LAR033,0.249152,Inland,5,20.0680709,34.8722,33.55844,0.11055830121040344,0.00926926266402,0.0526769645512104,0.117103137075901
ARADIPOU RIVER RECHARGE WIER No.1,CY000LAR034,0.0015341,Inland,4,2607.391956,34.97292,33.59767,0.4413229525089264,0.3464607298374176,0.4127300977706909,0.4651897549629211
ARADIPOU RIVER RECHARGE BARRIER No.2,CY000LAR035,0.0034891,Inland,1,286.6068614,34.97831,33.59546,0.4413229525089264,0.3464607298374176,0.4127300977706909,0.4651897549629211
ARADIPPOU RESERVOIR (PARTHENITIS),CY000LAR038,0.0257875,Inland,6,232.6708677,34.98341,33.59286,0.4413229525089264,0.3464607298374176,0.4127300977706909,0.4651897549629211
ABANDONED UMBER QUARRY LAKE,CY000LAR039,0.0078625,Inland,8,1017.488076,35.01182,33.6158,0.45388859510421753,0.3887995779514313,0.4082494080066681,0.463356077671051
ALETHRIKO RESERVOIR,CY000LAR052,0.0188349,Inland,11,584.0222141,34.86717,33.48044,0.5790726542472839,0.5227771401405334,0.547270655632019,0.5885064005851746
MILOS RIVER RECHARGE WIER -DELIKIPOS,CY000LAR053,0.0023901,Inland,5,2091.962679,34.91086,33.35703,0.5989215970039368,0.5301573276519775,0.5593464374542236,0.6080896258354187
AGIOS THEODOROS RECHARGE WIER No.1,CY000LAR055,0.0011028,Inland,14,12694.95829,34.75965,33.41109,0.558171808719635,0.4879997670650482,0.5160013437271118,0.5671203136444092
AGIOS THEODOROS RECHARGE WIER No.2,CY000LAR056,0.0009514,Inland,8,8408.660921,34.80752,33.38136,0.558171808719635,0.4879997670650482,0.5160013437271118,0.5671203136444092
KOFINOU SLAUGHTERHOUSE RECYCLED WATER TANKS,CY000LAR058,0.0204198,Inland,1,48.97207612,34.85124,33.416,0.5989215970039368,0.5301573276519775,0.5593464374542236,0.6080896258354187
