Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,SatAreaFrac,SatAreaFrac_20,SatAreaFrac_40,SatAreaFrac_60
,433674,0.64,GDE,1089.0,1701.5625,41.993,-120.5,0.6199087500572205,0.5226297378540039,0.5880656242370605,0.6647482514381409
,433685,2.03,GDE,1089.0,536.453202,41.98,-120.321,0.214519202709198,0.0427001379430294,0.1315499544143676,0.2403708696365356
,433927,112.54,GDE,1459.0,12.96427937,41.965,-122.362,0.25578486919403076,0.009122253395617,0.116441898047924,0.2888836562633514
,433929,1.28,GDE,1089.0,850.78125,41.958,-120.821,0.1289549618959427,0.0047851554118096,0.0438276752829551,0.1256767958402633
,433984,0.64,GDE,1089.0,1701.5625,41.938,-120.346,0.6100939512252808,0.5086790919303894,0.5755611658096313,0.6576743125915527
,434024,3.84,GDE,1089.0,283.59375,41.917,-120.358,0.6100939512252808,0.5086790919303894,0.5755611658096313,0.6576743125915527
,434080,28.79,GDE,1321.455,45.89979159,41.928,-124.174,0.7121911644935608,0.592721700668335,0.6911327242851257,0.7746303677558899
,434081,1.28,GDE,1089.0,850.78125,41.904,-120.592,0.19109554588794708,0.03940374776721,0.1116092056035995,0.1926405429840088
,434134,81.29,GDE,1089.0,13.39648173,41.898,-121.262,0.4569641053676605,0.3667177855968475,0.4021661579608917,0.4714238047599792
,434156,3.84,GDE,1089.0,283.59375,41.875,-120.01,0.4245767891407013,0.2316324412822723,0.345977783203125,0.4918473362922668
,434263,1.92,GDE,1089.0,567.1875,41.846,-120.362,0.5646855235099792,0.4753931760787964,0.5290150046348572,0.6010382771492004
,434292,0.64,GDE,1089.0,1701.5625,41.846,-121.204,0.21344810724258423,0.0151531770825386,0.1069561764597892,0.231591060757637
,434361,296.87,GDE,1089.0,3.668272308,41.923,-121.78,0.43417924642562866,0.3110845983028412,0.3734173774719238,0.4637632668018341
,434371,20.5,GDE,1089.0,53.12195122,41.834,-120.111,0.24913771450519562,0.0233768746256828,0.1404503136873245,0.2977245151996612
,434386,0.64,GDE,1089.0,1701.5625,41.821,-120.371,0.3052480220794678,0.1493752896785736,0.2279171347618103,0.3372322618961334
,434409,52.53,GDE,1089.0,20.73101085,41.841,-120.501,0.2457292526960373,0.1480529904365539,0.1962566077709198,0.2550318837165832
,434441,1.28,GDE,1089.0,850.78125,41.804,-120.642,0.22130563855171204,0.0189282838255167,0.1199842914938926,0.2438331097364425
,434442,1.92,GDE,1089.0,567.1875,41.799,-120.393,0.3052480220794678,0.1493752896785736,0.2279171347618103,0.3372322618961334
,434506,0.64,GDE,1089.0,1701.5625,41.788,-120.404,0.3052480220794678,0.1493752896785736,0.2279171347618103,0.3372322618961334
,434530,1.92,GDE,1089.0,567.1875,41.774,-120.668,0.2718295753002167,0.0686454102396965,0.1911303550004959,0.3020398020744324
,434583,0.64,GDE,1089.0,1701.5625,41.763,-121.112,0.223796546459198,0.0157772358506917,0.1134900227189064,0.2420413494110107
,434584,1.28,GDE,1089.0,850.78125,41.763,-121.05,0.2256965935230255,0.0154502121731638,0.114630602300167,0.2442130297422409
,434620,0.64,GDE,1089.0,1701.5625,41.754,-121.137,0.223796546459198,0.0157772358506917,0.1134900227189064,0.2420413494110107
,434621,1.92,GDE,1089.0,567.1875,41.751,-121.101,0.223796546459198,0.0157772358506917,0.1134900227189064,0.2420413494110107
,434648,8.98,GDE,1089.0,121.2694878,41.73,-120.874,0.2225920855998993,0.017753904685378,0.1216047033667564,0.2428991943597793
,434858,137.31,GDE,1089.0,7.930959144,41.738,-120.137,0.7175424098968506,0.657918393611908,0.7140676975250244,0.7467238903045654
,434880,0.64,GDE,1089.0,1701.5625,41.688,-121.287,0.2091265767812729,0.0180437006056308,0.104789987206459,0.2216908037662506
,434881,2.57,GDE,1089.0,423.7354086,41.683,-120.942,0.1927107721567154,0.0104478057473897,0.0972449630498886,0.2067459970712661
,434911,0.64,GDE,1089.0,1701.5625,41.679,-121.279,0.2091265767812729,0.0180437006056308,0.104789987206459,0.2216908037662506
,434912,1.28,GDE,1089.0,850.78125,41.679,-120.908,0.2225920855998993,0.017753904685378,0.1216047033667564,0.2428991943597793
,434913,0.64,GDE,1089.0,1701.5625,41.679,-120.104,0.7175424098968506,0.657918393611908,0.7140676975250244,0.7467238903045654
,434994,0.64,GDE,1089.0,1701.5625,41.663,-120.112,0.3491300344467163,0.1453721672296524,0.2656039893627167,0.413979709148407
,435083,0.64,GDE,1089.0,1701.5625,41.638,-120.546,0.22985392808914185,0.0179115571081638,0.1232701167464256,0.2564609348773956
,435114,0.64,GDE,1089.0,1701.5625,41.629,-120.879,0.2866153419017792,0.0872144177556037,0.2152320295572281,0.3149291276931762
,435145,4.5,GDE,1089.0,242.0,41.633,-120.922,0.22739268839359283,0.1558735370635986,0.1748476326465606,0.2087480425834655
,435221,9.64,GDE,1089.0,112.966805,41.61,-120.848,0.2866153419017792,0.0872144177556037,0.2152320295572281,0.3149291276931762
,435222,8.36,GDE,1089.0,130.2631579,41.627,-120.786,0.22175610065460205,0.0172403044998645,0.1189580932259559,0.2445660233497619
,435334,0.64,GDE,1089.0,1701.5625,41.579,-120.971,0.19410744309425354,0.0121806096285581,0.0977493897080421,0.196513831615448
,435335,0.64,GDE,1089.0,1701.5625,41.579,-120.962,0.19410744309425354,0.0121806096285581,0.0977493897080421,0.196513831615448
,435336,2.57,GDE,1089.0,423.7354086,41.581,-120.91,0.25890976190567017,0.0517876520752906,0.1749029159545898,0.2853988707065582
,435369,0.64,GDE,1089.0,1701.5625,41.571,-120.971,0.19410744309425354,0.0121806096285581,0.0977493897080421,0.196513831615448
,435396,0.64,GDE,1089.0,1701.5625,41.563,-121.129,0.12124727666378021,0.0047042062506079,0.0344041772186756,0.11261448264122
,435397,1.29,GDE,1089.0,844.1860465,41.563,-120.867,0.25890976190567017,0.0517876520752906,0.1749029159545898,0.2853988707065582
,435443,1.29,GDE,1089.0,844.1860465,41.55,-120.946,0.19410744309425354,0.0121806096285581,0.0977493897080421,0.196513831615448
,435444,0.64,GDE,1089.0,1701.5625,41.554,-120.829,0.21950943768024445,0.0171937514096498,0.1178034842014312,0.2419005185365677
,435497,1.29,GDE,1089.0,844.1860465,41.533,-120.687,0.22525393962860107,0.01711599342525,0.1205388903617858,0.2495366483926773
,435527,0.64,GDE,1089.0,1701.5625,41.529,-120.737,0.22525393962860107,0.01711599342525,0.1205388903617858,0.2495366483926773
,435555,1.29,GDE,1089.0,844.1860465,41.517,-120.746,0.22525393962860107,0.01711599342525,0.1205388903617858,0.2495366483926773
,435590,0.64,GDE,1089.0,1701.5625,41.513,-121.104,0.12124727666378021,0.0047042062506079,0.0344041772186756,0.11261448264122
