ln(wetland area (ha)),ln10(total plant species richness),Area (ha),Area (km2),Species richness,ID,SR normalised
-0.243481918,1.250076266,0.78389365,0.007838937,3.490609162,71,445.2911643
-0.187973087,1.135675436,0.828637008,0.00828637,3.113275651,72,375.7104282
-0.160218671,1.16724885,0.85195747,0.008519575,3.213140636,73,377.1480089
-0.132464256,1.153987963,0.875934243,0.008759342,3.170812813,74,361.992106
-0.134987384,1.216262419,0.873726935,0.008737269,3.374551474,75,386.2249567
-0.177880572,1.314528734,0.837042384,0.008370424,3.72299605,76,444.7798728
-0.198065601,1.341843913,0.820316038,0.00820316,3.826091986,77,466.416821
-0.246005046,1.440348188,0.781918279,0.007819183,4.222165669,78,539.975312
-0.218250631,1.532015787,0.803923928,0.008039239,4.627495472,79,575.613601
-0.195542473,1.507704372,0.822388414,0.008223884,4.516351023,80,549.1749335
-0.109756098,1.443643387,0.896052658,0.008960527,4.236101493,81,472.751401
-0.089571068,1.376001119,0.914323284,0.009143233,3.959038208,82,433.0020113
-0.036585366,1.314528734,0.964075791,0.009640758,3.72299605,83,386.1725483
0.001261564,1.21348623,1.00126236,0.010012624,3.365196074,84,336.095334
0.051724138,1.153987963,1.053085196,0.010530852,3.170812813,85,301.0974634
0.003784693,1.122773249,1.003791864,0.010037919,3.073365604,86,306.1755842
0.107232969,1.199700049,1.113193564,0.011131936,3.3191212,87,298.1620904
0.177880572,1.186070491,1.194682634,0.011946826,3.274189937,88,274.063575
0.223296888,1.161926306,1.250191686,0.012501917,3.196083986,89,255.6475157
0.354499579,1.148725887,1.425467142,0.014254671,3.154171577,90,221.2728364
0.278805719,1.241535678,1.321550567,0.013215506,3.460924251,91,261.8836039
0.044154752,1.382304295,1.045144081,0.010451441,3.984071534,92,381.1983064
0.099663583,1.450256419,1.104799182,0.011047992,4.264207799,93,385.9713029
0.132464256,1.463573499,1.141638209,0.011416382,4.321374397,94,378.523981
0.193019344,1.581820986,1.212906256,0.012129063,4.863804672,95,401.0041707
0.147603028,1.326599485,1.159052694,0.011590527,3.768207729,96,325.1109937
0.180403701,1.341843913,1.197700779,0.011977008,3.826091986,97,319.4530766
0.23843566,1.338781077,1.269262039,0.01269262,3.814391221,98,300.5203893
0.082001682,1.749139634,1.085457636,0.010854576,5.749653741,99,529.6985854
0.056770395,1.789570584,1.058412766,0.010584128,5.986881052,100,565.647094
0.339360807,1.398188847,1.404049845,0.014040498,4.047862026,101,288.2990259
0.56391926,1.636981836,1.757547304,0.017575473,5.139633822,102,292.4321757
0.642136249,1.247222895,1.900536565,0.019005366,3.480663355,103,183.1410886
0.73549201,1.596346166,2.086508323,0.020865083,4.934967889,104,236.5180064
0.917157275,1.258675606,2.502167297,0.025021673,3.520755531,105,140.7082386
1.166947014,1.745147122,3.21217094,0.032121709,5.726743943,106,178.2826646
1.237594617,1.690199438,3.44731138,0.034473114,5.420561663,107,157.2402683
