Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon
PIANIA (ANATOLIKOU) RESERVOIR,CY000PAF029,0.0338594,Inland,5,147.6694803,34.7548,32.49024
MAVROKOLIMPOS RESERVOIR,CY000PAF034,0.195451,Inland,14,71.6292063,34.85747,32.41015
GOLF POND- APHRODITE HILLS GOLF COURSE ??.1,CY000PAF035,0.0046177,Inland,1,216.5580267,34.68798,32.60998
GOLF POND- MINTHIS HILLS GOLF COURSE No.1,CY000PAF045,0.0018798,Inland,1,531.9714863,34.82468,32.497
FITI IRRIGATION TANK,CY000PAF051,0.001203,Inland,1,831.2551953,34.92741,32.53853
ARGAKA IRRIGATION TANK,CY000PAF058,0.01781,Inland,2,112.2964627,35.05854,32.49441
PRODROMI IRRIGATION TANK,CY000PAF060,0.02877,Inland,2,69.51685784,35.0215,32.41474
POLIS IRRIGATION TANK No.1,CY000PAF061,0.0031674,Inland,1,315.7163604,35.02555,32.43576
POLIS IRRIGATION TANK No.2,CY000PAF062,0.000381,Inland,2,5249.343832,35.0327,32.45603
GOLF POND- APHRODITE HILLS GOLF COURSE ??.2,CY000PAF065,0.0019693,Inland,1,507.7946478,34.68421,32.60828
KIDASI QUARRY LAKE,CY000PAF067,0.0018823,Inland,1,531.2649418,34.81991,32.71363
Artificial wetland for Choletria wastewater treatment,CY000PAF071,0.0016,Inland,18,11250,34.4528,32.36187
