Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon
ARADIPOU RIVER RECHARGE WIER No.1,CY000LAR034,0.0015341,Inland,4,2607.391956,34.97292,33.59767
ARADIPOU RIVER RECHARGE BARRIER No.2,CY000LAR035,0.0034891,Inland,1,286.6068614,34.97831,33.59546
ARADIPPOU RESERVOIR (PARTHENITIS),CY000LAR038,0.0257875,Inland,6,232.6708677,34.98341,33.59286
ABANDONED UMBER QUARRY LAKE,CY000LAR039,0.0078625,Inland,8,1017.488076,35.01182,33.6158
ALETHRIKO RESERVOIR,CY000LAR052,0.0188349,Inland,11,584.0222141,34.86717,33.48044
MILOS RIVER RECHARGE WIER -DELIKIPOS,CY000LAR053,0.0023901,Inland,5,2091.962679,34.91086,33.35703
AGIOS THEODOROS RECHARGE WIER No.1,CY000LAR055,0.0011028,Inland,14,12694.95829,34.75965,33.41109
AGIOS THEODOROS RECHARGE WIER No.2,CY000LAR056,0.0009514,Inland,8,8408.660921,34.80752,33.38136
KOFINOU SLAUGHTERHOUSE RECYCLED WATER TANKS,CY000LAR058,0.0204198,Inland,1,48.97207612,34.85124,33.416
KELLIA RIVER RECHARGE BARRIER,CY000LAR059,0.012054,Inland,3,248.8800398,34.99385,33.63417
OROKLINI ABANDONED QUARRY LAKE,CY000LAR060,0.033583,Inland,2,59.55394098,34.99372,33.64167
ORMIDEIA RECHARGE WIER,CY000LAR061,0.0241254,Inland,1,41.45008995,35.00245,33.76923
MARONI DIVERSION DAM,CY000LAR070,0.0184832,Inland,5,270.515928,34.81587,33.31835
PANO PLATRES RESERVOIR,CY000LIM001,0.0342373,Inland,6,175.247464,34.91573,32.90391
ASBESTOS ABANDONED MINE LAKE,CY000LIM002,0.034585,Inland,7,202.3998843,34.92228,32.91669
KYPEROUNTA IRRIGATION TANK No.1,CY000LIM003,0.0342677,Inland,4,116.7279975,34.94195,32.9547
CHANDRIA IRRIGATION TANK (STAVROS TOU KAMPOU),CY000LIM004,0.0155137,Inland,5,322.2957773,34.94247,32.98713
