Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,,,,,
Lac de barrage du Rizzanese,FR831COR491,0.131,Inland,7,53.4351145,41.736624,9.116692,,,,,
Réserve de l'Osu,FR831COR492,0.002,Inland,4,2000,41.689731,9.264533,,,,,
Lac de barrage de l'Ospedale,FR831COR493,0.445,Inland,10,22.47191011,41.664773,9.200091,,,,,
Lac de barrage de l'Ortolo,FR831COR494,0.266,Inland,17,63.90977444,41.61164,9.049101,,,,,
Mare de l'Ortolo,FR831COR495,0.003,Inland,7,2333.333333,41.612058,9.040557,,,,,
Mare de Suartella,FR831COR496,0.002,Inland,16,8000,41.464894,9.18913,,,,,
Mare de Francolu,FR831COR497,0.003,Inland,8,2666.666667,41.460069,9.216852,,,,,
Etang de Tanchiccia,FR832COR289,0.261,Inland,40,153.256705,41.72121,8.811289,,,,,
Retenue du pénitencier de Chiavari,FR832COR294,0.003,Inland,10,3333.333333,41.789773,8.772077,,,,,
Mare de l'Aéroport d'Ajaccio,FR832COR301,0.001,Inland,6,6000,41.918578,8.791224,,,,,
Gravières de Baléone,FR832COR303,0.684,Inland,22,32.16374269,41.965691,8.825831,,,,,
Réservoir de Mezzavia,FR832COR307,0.003,Inland,2,666.6666667,41.950796,8.777461,,,,,
Réservoir de Mezzavia 2,FR832COR308,0.003,Inland,1,333.3333333,41.946977,8.763949,,,,,
Réservoir de Mezzavia 3,FR832COR309,0.002,Inland,1,500,41.945299,8.759323,,,,,
Etang de la Croix d'Alexandre,FR832COR310,0.001,Inland,15,15000,41.938392,8.734524,,,,,
Lac de barrage de Lisa,FR832COR311,0.005,Inland,13,2600,41.938926,8.703311,,,,,
Lac de Creno,FR832COR427,0.027,Inland,31,1148.148148,42.204918,8.946051,,,,,
Lac de l'Arate,FR832COR428,0.001,Inland,7,7000,42.202394,8.932518,,,,,
Prairie humide de l'Arinella,FR832COR429,0.021,Inland,6,285.7142857,42.212251,8.986182,,,,,
Pozzines de Marmanu,FR832COR468,0.128,Inland,10,78.125,42.036964,9.136476,,,,,
Lac de Vitalaca,FR832COR469,0.026,Inland,8,307.6923077,42.048179,9.121751,,,,,
Lac de Bracca,FR832COR470,0.009,Inland,1,111.1111111,42.049546,9.114991,,,,,
Pozzi di Pozzolo,FR832COR471,0.014,Inland,6,428.5714286,42.045146,9.102931,,,,,
